"Date","Price","Open","High","Low","Change %"
"11/01/2019","-0.566","-0.566","-0.562","-0.588","-0.89%"
"10/31/2019","-0.571","-0.563","-0.559","-0.590","3.40%"
"10/30/2019","-0.552","-0.543","-0.540","-0.570","0.00%"
"10/29/2019","-0.552","-0.560","-0.548","-0.580","-1.16%"
"10/28/2019","-0.558","-0.561","-0.553","-0.581","-1.12%"
"10/25/2019","-0.565","-0.572","-0.557","-0.589","-1.35%"
"10/24/2019","-0.572","-0.555","-0.555","-0.576","2.09%"
"10/23/2019","-0.561","-0.559","-0.555","-0.573","0.00%"
"10/22/2019","-0.560","-0.558","-0.555","-0.568","-0.18%"
"10/21/2019","-0.561","-0.557","-0.556","-0.565","-1.54%"
"10/18/2019","-0.570","-0.560","-0.550","-0.588","3.13%"
"10/17/2019","-0.553","-0.552","-0.545","-0.557","2.09%"
"10/16/2019","-0.541","-0.541","-0.531","-0.554","0.52%"
"10/15/2019","-0.539","-0.552","-0.536","-0.573","-2.95%"
"10/14/2019","-0.555","-0.569","-0.546","-0.587","1.22%"
"10/11/2019","-0.548","-0.545","-0.542","-0.565","1.46%"
"10/10/2019","-0.540","-0.568","-0.540","-0.576","-5.57%"
"10/09/2019","-0.572","-0.594","-0.572","-0.603","-2.29%"
"10/08/2019","-0.586","-0.586","-0.586","-0.598","0.00%"
"10/07/2019","-0.585","-0.590","-0.584","-0.599","-0.56%"
"10/04/2019","-0.589","-0.592","-0.586","-0.596","-0.98%"
"10/03/2019","-0.595","-0.588","-0.588","-0.612","2.55%"
"10/02/2019","-0.580","-0.588","-0.580","-0.592","-0.14%"
"10/01/2019","-0.581","-0.579","-0.572","-0.588","0.28%"
"09/30/2019","-0.579","-0.584","-0.574","-0.589","-0.14%"
"09/27/2019","-0.580","-0.575","-0.571","-0.585","1.76%"
"09/26/2019","-0.570","-0.565","-0.560","-0.570","2.78%"
"09/25/2019","-0.554","-0.555","-0.548","-0.562","-0.59%"
"09/24/2019","-0.558","-0.555","-0.554","-0.564","0.00%"
"09/23/2019","-0.557","-0.566","-0.539","-0.577","2.67%"
"09/20/2019","-0.543","-0.542","-0.532","-0.569","-4.32%"
"09/19/2019","-0.567","-0.539","-0.528","-0.567","5.15%"
"09/18/2019","-0.539","-0.536","-0.527","-0.567","-0.81%"
"09/17/2019","-0.544","-0.539","-0.524","-0.560","1.13%"
"09/16/2019","-0.538","-0.531","-0.522","-0.545","1.13%"
"09/13/2019","-0.532","-0.512","-0.504","-0.558","-0.62%"
"09/12/2019","-0.535","-0.627","-0.521","-0.656","-14.32%"
"09/11/2019","-0.624","-0.620","-0.613","-0.651","0.26%"
"09/10/2019","-0.623","-0.633","-0.616","-0.657","-2.04%"
"09/09/2019","-0.636","-0.645","-0.623","-0.664","-0.63%"
"09/06/2019","-0.640","-0.641","-0.632","-0.670","-2.65%"
"09/05/2019","-0.657","-0.665","-0.633","-0.705","-1.41%"
"09/04/2019","-0.667","-0.673","-0.646","-0.705","-3.28%"
"09/03/2019","-0.689","-0.696","-0.670","-0.725","-1.49%"
"09/02/2019","-0.700","-0.697","-0.684","-0.718","-3.21%"
"09/01/2019","-0.723","-0.723","-0.723","-0.723","1.99%"
"08/31/2019","-0.709","-0.709","-0.709","-0.709","-0.31%"
"08/30/2019","-0.711","-0.683","-0.666","-0.712","3.13%"
"08/29/2019","-0.689","-0.672","-0.655","-0.699","2.24%"
"08/28/2019","-0.674","-0.659","-0.650","-0.683","2.07%"
"08/27/2019","-0.661","-0.666","-0.652","-0.681","1.24%"
"08/26/2019","-0.652","-0.651","-0.643","-0.676","-2.33%"
"08/23/2019","-0.668","-0.641","-0.626","-0.685","3.09%"
"08/22/2019","-0.648","-0.672","-0.633","-0.691","-3.10%"
"08/21/2019","-0.669","-0.687","-0.667","-0.701","-3.14%"
"08/20/2019","-0.691","-0.687","-0.681","-0.706","1.81%"
"08/19/2019","-0.678","-0.688","-0.601","-0.716","-5.58%"
"08/18/2019","-0.718","-0.718","-0.718","-0.718","1.90%"
